batch_id,run_id,algo,N,N_bits,M,rep,success,time_sec,factors,status,seed,hw_backend,hw_qubits,quantum_seconds,job_id
1,11,quantum,2773,12,100,1,True,4.716060638427734,"[47, 59]",OK_QUANTUM_HARDWARE,113001.0,ibm_fez,156.0,4.716060638427734,d5ltp69h2mqc739a8dig
1,12,quantum,2773,12,100,2,True,4.83984375,"[47, 59]",OK_QUANTUM_HARDWARE,113002.0,ibm_fez,156.0,4.83984375,d5ltp7hh2mqc739a8dkg
1,13,quantum,2773,12,100,3,True,4.237571716308594,"[47, 59]",OK_QUANTUM_HARDWARE,113003.0,ibm_fez,156.0,4.237571716308594,d5ltp8t9j2ac739k6qeg
1,24,quantum,851,10,100,1,True,4.853628158569336,"[23, 37]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.853628158569336,d5ltp9s8d8hc73cg01ig
1,25,quantum,851,10,100,2,True,4.865261554718018,"[23, 37]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.865261554718018,d5ltpb48d8hc73cg01k0
1,26,quantum,851,10,100,3,True,4.667726516723633,"[23, 37]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.667726516723633,d5ltpc3h36vs73bhhhs0
1,37,quantum,481,9,100,1,True,4.959604740142822,"[13, 37]",OK_QUANTUM_HARDWARE,110001.0,ibm_fez,156.0,4.959604740142822,d5ltpdd9j2ac739k6ql0
1,38,quantum,481,9,100,2,True,4.825843811035156,"[13, 37]",OK_QUANTUM_HARDWARE,110002.0,ibm_fez,156.0,4.825843811035156,d5ltpel9j2ac739k6qmg
1,39,quantum,481,9,100,3,True,4.742109775543213,"[13, 37]",OK_QUANTUM_HARDWARE,110003.0,ibm_fez,156.0,4.742109775543213,d5ltpft9j2ac739k6qp0
1,50,quantum,3233,12,100,1,True,4.62453556060791,"[53, 61]",OK_QUANTUM_HARDWARE,113001.0,ibm_fez,156.0,4.62453556060791,d5ltph59j2ac739k6qr0
1,51,quantum,3233,12,100,2,True,4.510033369064331,"[53, 61]",OK_QUANTUM_HARDWARE,113002.0,ibm_fez,156.0,4.510033369064331,d5ltpi48d8hc73cg01sg
1,52,quantum,3233,12,100,3,True,4.812122583389282,"[53, 61]",OK_QUANTUM_HARDWARE,113003.0,ibm_fez,156.0,4.812122583389282,d5ltpj9h2mqc739a8e20
1,63,quantum,2537,12,100,1,True,3.98286509513855,"[43, 59]",OK_QUANTUM_HARDWARE,113001.0,ibm_fez,156.0,3.98286509513855,d5ltpkl9j2ac739k6qug
1,64,quantum,2537,12,100,2,True,4.984718322753906,"[43, 59]",OK_QUANTUM_HARDWARE,113002.0,ibm_fez,156.0,4.984718322753906,d5ltplhh2mqc739a8e50
1,65,quantum,2537,12,100,3,True,4.529583930969238,"[43, 59]",OK_QUANTUM_HARDWARE,113003.0,ibm_fez,156.0,4.529583930969238,d5ltpms8d8hc73cg0220
1,76,quantum,1333,11,100,1,True,4.761733531951904,"[31, 43]",OK_QUANTUM_HARDWARE,112001.0,ibm_fez,156.0,4.761733531951904,d5ltpnrh36vs73bhhia0
1,77,quantum,1333,11,100,2,True,4.4057605266571045,"[31, 43]",OK_QUANTUM_HARDWARE,112002.0,ibm_fez,156.0,4.4057605266571045,d5ltpp1h2mqc739a8e90
1,78,quantum,1333,11,100,3,True,4.576509952545166,"[31, 43]",OK_QUANTUM_HARDWARE,112003.0,ibm_fez,156.0,4.576509952545166,d5ltpq3h36vs73bhhid0
1,89,quantum,649,10,100,1,True,43.23869061470032,"[11, 59]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,43.23869061470032,d5ltprbh36vs73bhhie0
1,90,quantum,649,10,100,2,True,10.336945533752441,"[11, 59]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,10.336945533752441,d5ltq61h2mqc739a8eng
1,91,quantum,649,10,100,3,True,21.304362535476685,"[11, 59]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,21.304362535476685,d5ltq8hh2mqc739a8er0
1,102,quantum,779,10,100,1,True,4.141721487045288,"[19, 41]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.141721487045288,d5ltqe1h2mqc739a8f0g
1,103,quantum,779,10,100,2,True,36.31921076774597,"[19, 41]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,36.31921076774597,d5ltqf1h2mqc739a8f20
1,104,quantum,779,10,100,3,True,5.38410210609436,"[19, 41]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,5.38410210609436,d5ltqo1h2mqc739a8fb0
1,115,quantum,3599,12,100,1,True,4.103219509124756,"[59, 61]",OK_QUANTUM_HARDWARE,113001.0,ibm_fez,156.0,4.103219509124756,d5ltqpk8d8hc73cg039g
1,116,quantum,3599,12,100,2,True,4.416607856750488,"[59, 61]",OK_QUANTUM_HARDWARE,113002.0,ibm_fez,156.0,4.416607856750488,d5ltqql9j2ac739k6s5g
1,117,quantum,3599,12,100,3,True,4.586398363113403,"[59, 61]",OK_QUANTUM_HARDWARE,113003.0,ibm_fez,156.0,4.586398363113403,d5ltqrjh36vs73bhhjcg
1,128,quantum,767,10,100,1,True,4.97973108291626,"[13, 59]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.97973108291626,d5ltqss8d8hc73cg03f0
1,129,quantum,767,10,100,2,True,4.21157693862915,"[13, 59]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.21157693862915,d5ltqu3h36vs73bhhjf0
1,130,quantum,767,10,100,3,True,4.541542053222656,"[13, 59]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.541542053222656,d5ltqv3h36vs73bhhjgg
1,141,quantum,1769,11,100,1,True,4.7525999546051025,"[29, 61]",OK_QUANTUM_HARDWARE,112001.0,ibm_fez,156.0,4.7525999546051025,d5ltr01h2mqc739a8fj0
1,142,quantum,1769,11,100,2,True,4.661890745162964,"[29, 61]",OK_QUANTUM_HARDWARE,112002.0,ibm_fez,156.0,4.661890745162964,d5ltr1bh36vs73bhhjkg
1,143,quantum,1769,11,100,3,True,4.794751882553101,"[29, 61]",OK_QUANTUM_HARDWARE,112003.0,ibm_fez,156.0,4.794751882553101,d5ltr2jh36vs73bhhjn0
1,154,quantum,551,10,100,1,True,4.505452871322632,"[19, 29]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.505452871322632,d5ltr3t9j2ac739k6sf0
1,155,quantum,551,10,100,2,True,4.109734535217285,"[19, 29]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.109734535217285,d5ltr4t9j2ac739k6sh0
1,156,quantum,551,10,100,3,True,4.294661045074463,"[19, 29]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.294661045074463,d5ltr5s8d8hc73cg03pg
1,167,quantum,559,10,100,1,True,4.299717903137207,"[13, 43]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.299717903137207,d5ltr6s8d8hc73cg03rg
1,168,quantum,559,10,100,2,True,4.214190244674683,"[13, 43]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.214190244674683,d5ltr848d8hc73cg03t0
1,169,quantum,559,10,100,3,True,4.955992221832275,"[13, 43]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.955992221832275,d5ltr93h36vs73bhhju0
1,180,quantum,1363,11,100,1,True,5.037958383560181,"[29, 47]",OK_QUANTUM_HARDWARE,112001.0,ibm_fez,156.0,5.037958383560181,d5ltrac8d8hc73cg0400
1,181,quantum,1363,11,100,2,True,4.377059698104858,"[29, 47]",OK_QUANTUM_HARDWARE,112002.0,ibm_fez,156.0,4.377059698104858,d5ltrbk8d8hc73cg0420
1,182,quantum,1363,11,100,3,True,4.626055002212524,"[29, 47]",OK_QUANTUM_HARDWARE,112003.0,ibm_fez,156.0,4.626055002212524,d5ltrck8d8hc73cg0430
1,193,quantum,533,10,100,1,True,4.117662668228149,"[13, 41]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.117662668228149,d5ltrds8d8hc73cg0450
1,194,quantum,533,10,100,2,True,4.291942834854126,"[13, 41]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.291942834854126,d5ltret9j2ac739k6sqg
1,195,quantum,533,10,100,3,True,4.132503509521484,"[13, 41]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.132503509521484,d5ltrfph2mqc739a8g40
1,206,quantum,851,10,100,1,True,3.994325637817383,"[23, 37]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,3.994325637817383,d5ltrh59j2ac739k6stg
1,207,quantum,851,10,100,2,True,4.778215169906616,"[23, 37]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.778215169906616,d5ltri1h2mqc739a8g70
1,208,quantum,851,10,100,3,True,4.700097322463989,"[23, 37]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.700097322463989,d5ltrj59j2ac739k6t10
1,219,quantum,391,9,100,1,True,4.463909387588501,"[17, 23]",OK_QUANTUM_HARDWARE,110001.0,ibm_fez,156.0,4.463909387588501,d5ltrk9h2mqc739a8ga0
1,220,quantum,391,9,100,2,True,5.009245157241821,"[17, 23]",OK_QUANTUM_HARDWARE,110002.0,ibm_fez,156.0,5.009245157241821,d5ltrlc8d8hc73cg04e0
1,221,quantum,391,9,100,3,True,4.669936418533325,"[17, 23]",OK_QUANTUM_HARDWARE,110003.0,ibm_fez,156.0,4.669936418533325,d5ltrmt9j2ac739k6t4g
1,232,quantum,1829,11,100,1,True,4.792513132095337,"[31, 59]",OK_QUANTUM_HARDWARE,112001.0,ibm_fez,156.0,4.792513132095337,d5ltrnt9j2ac739k6t6g
1,233,quantum,1829,11,100,2,True,4.030293226242065,"[31, 59]",OK_QUANTUM_HARDWARE,112002.0,ibm_fez,156.0,4.030293226242065,d5ltrp48d8hc73cg04hg
1,234,quantum,1829,11,100,3,True,4.356617450714111,"[31, 59]",OK_QUANTUM_HARDWARE,112003.0,ibm_fez,156.0,4.356617450714111,d5ltrq3h36vs73bhhkgg
1,245,quantum,253,8,100,1,True,4.430684566497803,"[11, 23]",OK_QUANTUM_HARDWARE,109001.0,ibm_fez,156.0,4.430684566497803,d5ltrr48d8hc73cg04jg
1,246,quantum,253,8,100,2,True,4.46406888961792,"[11, 23]",OK_QUANTUM_HARDWARE,109002.0,ibm_fez,156.0,4.46406888961792,d5ltrsd9j2ac739k6tbg
1,247,quantum,253,8,100,3,True,4.188899278640747,"[11, 23]",OK_QUANTUM_HARDWARE,109003.0,ibm_fez,156.0,4.188899278640747,d5ltrt9h2mqc739a8gkg
1,258,quantum,583,10,100,1,True,4.317352771759033,"[11, 53]",OK_QUANTUM_HARDWARE,111001.0,ibm_fez,156.0,4.317352771759033,d5ltruk8d8hc73cg04o0
1,259,quantum,583,10,100,2,True,4.595602989196777,"[11, 53]",OK_QUANTUM_HARDWARE,111002.0,ibm_fez,156.0,4.595602989196777,d5ltrvl9j2ac739k6tfg
1,260,quantum,583,10,100,3,True,4.792968273162842,"[11, 53]",OK_QUANTUM_HARDWARE,111003.0,ibm_fez,156.0,4.792968273162842,d5lts0l9j2ac739k6th0
